# from (http://archives.esac.esa.int/hsa/legacy/ADP/PlanetaryModels/)# freq[GHz]	T_rj[K_rj]
1190.0	37.687
1191.0	37.6658
1192.0	37.6443
1193.0	37.6226
1194.0	37.6008
1195.0	37.5794
1196.0	37.5579
1197.0	37.536
1198.0	37.5147
1199.0	37.493
1200.0	37.4715
1201.0	37.4499
1202.0	37.4285
1203.0	37.4069
1204.0	37.3853
1205.0	37.3638
1206.0	37.3422
1207.0	37.3228
1208.0	37.5218
1209.0	37.2779
1210.0	37.2562
1211.0	37.2349
1212.0	37.2135
1213.0	37.1921
1214.0	37.171
1215.0	37.1494
1216.0	37.1284
1217.0	37.1069
1218.0	37.0858
1219.0	37.0645
1220.0	37.043
1221.0	37.0221
1222.0	37.0006
1223.0	36.9794
1224.0	36.958
1225.0	36.9366
1226.0	36.9155
1227.0	36.8941
1228.0	36.8736
1229.0	37.2535
1230.0	36.83
1231.0	36.8083
1232.0	36.7869
1233.0	36.7655
1234.0	36.744
1235.0	36.7223
1236.0	36.7006
1237.0	36.6789
1238.0	36.6573
1239.0	36.6379
1240.0	37.4277
1241.0	36.5924
1242.0	36.5681
1243.0	36.5446
1244.0	36.521
1245.0	36.4971
1246.0	36.4726
1247.0	36.4468
1248.0	36.4199
1249.0	36.3911
1250.0	36.3601
1251.0	36.3257
1252.0	36.2864
1253.0	36.2391
1254.0	36.1789
1255.0	36.091
1256.0	36.8593
1257.0	36.0466
1258.0	36.0839
1259.0	36.0991
1260.0	36.0979
1261.0	36.0851
1262.0	36.0628
1263.0	36.0277
1264.0	35.9798
1265.0	35.9019
1266.0	35.789
1267.0	39.4401
1268.0	35.7638
1269.0	35.829
1270.0	35.8725
1271.0	35.8923
1272.0	35.8935
1273.0	35.8923
1274.0	35.8846
1275.0	35.8723
1276.0	35.8581
1277.0	35.8422
1278.0	35.8256
1279.0	35.8079
1280.0	35.7898
1281.0	35.7716
1282.0	35.7531
1283.0	35.7343
1284.0	35.7151
1285.0	35.6959
1286.0	35.6765
1287.0	35.6571
1288.0	35.6377
1289.0	35.6182
1290.0	35.5984
1291.0	35.5788
1292.0	35.5593
1293.0	35.5395
1294.0	35.5196
1295.0	35.5001
1296.0	35.4805
1297.0	35.4606
1298.0	35.4407
1299.0	35.421
1300.0	35.4015
1301.0	35.3813
1302.0	35.3616
