# from (http://archives.esac.esa.int/hsa/legacy/ADP/PlanetaryModels/)# freq[GHz]	T_rj[K_rj]
865.0	46.515
866.0	46.4831
867.0	46.4514
868.0	46.4197
869.0	46.3879
870.0	46.3561
871.0	46.3243
872.0	46.2928
873.0	46.2613
874.0	46.2297
875.0	46.1982
876.0	46.1668
877.0	46.1353
878.0	46.1038
879.0	46.0724
880.0	46.0409
881.0	46.0095
882.0	45.9783
883.0	45.947
884.0	45.9158
885.0	45.8845
886.0	45.8535
887.0	45.8224
888.0	45.7914
889.0	45.7602
890.0	45.7292
891.0	45.6982
892.0	45.6673
893.0	45.6364
894.0	45.6056
895.0	45.5745
896.0	45.5438
897.0	45.5133
898.0	45.4827
899.0	45.452
900.0	45.4213
901.0	45.3906
902.0	45.36
903.0	45.3296
904.0	45.299
905.0	45.2685
906.0	45.2382
907.0	45.2077
908.0	45.1774
909.0	45.1469
910.0	45.1165
911.0	45.0866
912.0	45.0563
913.0	45.026
914.0	44.996
915.0	44.966
916.0	44.9358
917.0	44.9057
918.0	44.8756
919.0	44.8455
920.0	44.8156
921.0	44.7859
922.0	44.7561
923.0	44.7262
924.0	44.6964
925.0	44.6665
926.0	44.6369
927.0	44.607
928.0	44.5773
929.0	44.5476
930.0	44.518
931.0	44.4885
932.0	44.459
933.0	44.4295
934.0	44.4001
935.0	44.3706
936.0	44.3412
937.0	44.3119
938.0	44.2828
939.0	44.2538
940.0	44.2247
941.0	44.1956
942.0	44.1666
943.0	44.1377
944.0	44.109
945.0	44.0802
946.0	44.0515
947.0	44.0227
948.0	43.994
949.0	43.9652
950.0	43.9365
951.0	43.9077
952.0	43.8792
953.0	43.8507
954.0	43.8223
955.0	43.7938
956.0	43.7654
957.0	43.7369
958.0	43.7084
959.0	43.68
960.0	43.6515
961.0	43.623
962.0	43.5946
963.0	43.5661
964.0	43.5379
965.0	43.5096
966.0	43.4814
967.0	43.4532
968.0	43.4249
969.0	43.3967
970.0	43.3685
971.0	43.3402
972.0	43.3123
973.0	43.2843
974.0	43.2563
975.0	43.2284
976.0	43.2004
977.0	43.1724
978.0	43.1444
979.0	43.1165
980.0	43.0885
981.0	43.0607
982.0	43.0329
983.0	43.0053
984.0	42.9777
985.0	42.9499
986.0	42.9222
987.0	42.8945
988.0	42.9058
989.0	42.8394
990.0	42.8118
991.0	42.7842
992.0	42.7568
993.0	42.7293
994.0	42.7018
995.0	42.6743
996.0	42.6468
997.0	42.6194
998.0	42.592
999.0	42.5647
1000.0	42.5375
1001.0	42.5102
1002.0	42.483
1003.0	42.4558
1004.0	42.4285
1005.0	42.4013
1006.0	42.3741
1007.0	42.347
1008.0	42.3199
1009.0	42.2928
1010.0	42.2657
1011.0	42.2387
1012.0	42.2117
1013.0	42.1848
1014.0	42.1578
1015.0	42.1309
1016.0	42.1039
1017.0	42.0769
1018.0	42.05
1019.0	42.0233
1020.0	41.9965
1021.0	41.9698
1022.0	41.943
1023.0	41.9164
1024.0	41.8897
1025.0	41.8629
1026.0	41.8363
1027.0	41.8097
1028.0	41.7831
1029.0	41.7566
1030.0	41.7301
1031.0	41.7038
1032.0	41.6778
1033.0	41.6517
1034.0	41.6256
1035.0	41.5995
1036.0	41.5735
1037.0	41.5476
1038.0	41.5218
1039.0	41.4959
1040.0	41.4701
1041.0	41.4442
1042.0	41.4184
1043.0	41.3925
1044.0	41.3667
1045.0	41.341
1046.0	41.3154
1047.0	41.2894
1048.0	41.2636
1049.0	41.238
1050.0	41.2123
1051.0	41.1867
1052.0	41.1609
1053.0	41.1354
1054.0	41.1098
1055.0	41.0841
1056.0	41.0587
1057.0	41.0332
1058.0	41.0076
1059.0	40.9821
1060.0	40.9566
1061.0	40.9313
1062.0	40.9058
1063.0	40.8804
1064.0	40.8551
1065.0	40.8297
1066.0	40.8044
1067.0	40.7793
1068.0	40.7538
1069.0	40.7284
1070.0	40.7031
1071.0	40.6779
1072.0	40.6528
1073.0	40.6277
1074.0	40.6026
1075.0	40.5774
1076.0	40.5522
1077.0	40.5271
1078.0	40.5019
1079.0	40.4769
1080.0	40.4518
1081.0	40.4268
1082.0	40.4018
1083.0	40.3768
1084.0	40.3519
1085.0	40.3269
1086.0	40.3019
1087.0	40.2769
1088.0	40.2521
1089.0	40.2274
1090.0	40.2024
1091.0	40.1777
1092.0	40.1528
1093.0	40.1279
1094.0	40.1032
1095.0	40.0786
1096.0	40.0538
1097.0	40.1493
1098.0	40.0454
1099.0	39.9797
1100.0	39.9551
1101.0	39.9304
1102.0	39.9059
1103.0	39.8814
1104.0	39.857
1105.0	39.8324
1106.0	39.8078
1107.0	39.7832
1108.0	39.7586
1109.0	39.7341
1110.0	39.7098
1111.0	39.6854
1112.0	39.6609
1113.0	39.7202
1114.0	39.6122
1115.0	39.5877
1116.0	39.5633
1117.0	39.5391
1118.0	39.5148
1119.0	39.4904
1120.0	39.4661
1121.0	39.4419
1122.0	39.4177
1123.0	39.3935
1124.0	39.3695
1125.0	39.3454
1126.0	39.3211
1127.0	39.2969
1128.0	39.2729
1129.0	39.249
1130.0	39.2249
1131.0	39.2007
1132.0	39.1771
1133.0	39.1535
1134.0	39.1299
1135.0	39.1065
1136.0	39.0831
1137.0	39.0596
1138.0	39.0362
1139.0	39.0127
1140.0	38.9893
1141.0	38.966
1142.0	38.9427
1143.0	38.9193
1144.0	38.8959
1145.0	38.8727
1146.0	38.8495
1147.0	38.8263
1148.0	38.8028
1149.0	38.7797
1150.0	38.7565
1151.0	38.7332
1152.0	38.7101
1153.0	38.7138
1154.0	38.6638
1155.0	38.6407
1156.0	38.6177
1157.0	38.5945
1158.0	38.5712
1159.0	38.5482
1160.0	38.5253
1161.0	38.5021
1162.0	38.4791
1163.0	38.5926
1164.0	38.4333
1165.0	38.4103
1166.0	38.3872
1167.0	38.3643
1168.0	38.3413
1169.0	38.3184
1170.0	38.2956
1171.0	38.2725
1172.0	38.2496
1173.0	38.2268
1174.0	38.204
1175.0	38.1811
1176.0	38.1583
1177.0	38.1359
1178.0	38.1129
1179.0	38.0901
1180.0	38.0672
1181.0	38.0446
1182.0	38.022
1183.0	37.9993
1184.0	37.9765
1185.0	37.9539
1186.0	37.9311
1187.0	37.9086
1188.0	37.886
1189.0	37.8633
1190.0	37.8407
1191.0	37.8181
1192.0	37.7955
1193.0	37.7731
1194.0	37.7506
1195.0	37.728
1196.0	37.7055
1197.0	37.6828
1198.0	37.6605
1199.0	37.6378
1200.0	37.6153
1201.0	37.5929
1202.0	37.5705
1203.0	37.5482
1204.0	37.5258
1205.0	37.5033
1206.0	37.4808
1207.0	37.4584
1208.0	37.4703
1209.0	37.4137
1210.0	37.3912
1211.0	37.3688
1212.0	37.3466
1213.0	37.3243
1214.0	37.302
1215.0	37.2796
1216.0	37.2572
1217.0	37.235
1218.0	37.2126
1219.0	37.1902
1220.0	37.168
1221.0	37.1457
1222.0	37.1233
1223.0	37.101
1224.0	37.0787
1225.0	37.0564
1226.0	37.0339
1227.0	37.0114
1228.0	36.9891
1229.0	37.0234
1230.0	36.9443
1231.0	36.9216
1232.0	36.899
1233.0	36.8764
1234.0	36.8537
1235.0	36.8309
1236.0	36.8079
1237.0	36.785
1238.0	36.7617
1239.0	36.7381
1240.0	36.7142
1241.0	36.6903
1242.0	36.6652
1243.0	36.64
1244.0	36.6147
1245.0	36.5888
1246.0	36.5602
1247.0	36.5317
1248.0	36.5031
1249.0	36.4692
1250.0	36.4337
1251.0	36.3939
1252.0	36.3497
1253.0	36.2968
1254.0	36.2328
1255.0	36.1499
