# Data was provided from Jon Gudmundsson
# freq[GHz]	T_rj[K_rj]
16.64805	158.9835
16.69809	158.792
16.73145	158.6658
16.7537	158.5814
16.76852	158.5242
16.77841	158.4847
16.785	158.4609
16.78939	158.4445
16.79232	158.4317
16.79427	158.4251
16.79558	158.4205
16.79644	158.4168
16.79702	158.4146
16.79741	158.4133
16.79766	158.4124
16.79784	158.4118
16.79795	158.4114
16.79803	158.4111
16.79808	158.411
16.79811	158.4108
16.79813	158.4107
16.79815	158.4107
16.79818	158.4106
16.79822	158.4104
16.79829	158.4101
16.79838	158.4098
16.79852	158.4092
16.79873	158.4085
16.79906	158.4073
16.79953	158.4057
16.80025	158.403
16.80133	158.3985
16.80295	158.3919
16.80537	158.3836
16.80901	158.3693
16.81446	158.3498
16.82265	158.3188
16.82877	158.2928
16.83285	158.2783
16.83557	158.2683
16.83739	158.2618
16.83859	158.2569
16.8394	158.2546
16.83994	158.2528
16.8403	158.2512
16.84054	158.25
16.8407	158.2492
16.8408	158.2487
16.84087	158.2484
16.84092	158.2482
16.84095	158.248
16.84097	158.2479
16.84099	158.2478
16.84101	158.2476
16.84105	158.2473
16.84111	158.247
16.8412	158.2466
16.84132	158.246
16.84152	158.2449
16.84181	158.2436
16.84224	158.2421
16.84289	158.2404
16.84387	158.2374
16.84534	158.231
16.84753	158.2242
16.85083	158.2103
16.85578	158.191
16.86319	158.1643
16.87432	158.12
16.89101	158.0583
16.91605	157.9642
16.95361	157.8202
17.00994	157.6085
17.10381	157.2548
17.16638	157.0192
17.2081	156.8647
17.23591	156.7598
17.25445	156.6916
17.26681	156.6452
17.27505	156.6138
17.28054	156.5934
17.28421	156.5803
17.28665	156.5706
17.28827	156.5645
17.28936	156.5597
17.29008	156.5571
17.29057	156.5555
17.29089	156.5546
17.2911	156.554
17.29124	156.5536
17.29134	156.5533
17.2914	156.5531
17.29145	156.553
17.29147	156.5529
17.29149	156.5528
17.29151	156.5527
17.29155	156.5526
17.29159	156.5525
17.29166	156.5522
17.29177	156.5519
17.29193	156.5513
17.29217	156.5504
17.29252	156.5487
17.29306	156.5456
17.29386	156.543
17.29507	156.539
17.29687	156.5316
17.29959	156.5221
17.30365	156.5065
17.30975	156.4852
17.3189	156.4519
17.33263	156.3992
17.3478	156.3415
17.35792	156.3043
17.36467	156.2792
17.36916	156.2628
17.37216	156.2521
17.37416	156.2435
17.37549	156.24
17.37638	156.2364
17.37697	156.2337
17.37737	156.2323
17.37763	156.2313
17.37781	156.2306
17.37792	156.2301
17.378	156.2299
17.37805	156.2297
17.37809	156.2295
17.37811	156.2294
17.37813	156.2293
17.37815	156.2292
17.37819	156.2291
17.37824	156.2288
17.37832	156.2285
